API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API



*******************************************************************************
Ephemeris / API_USER Tue Apr 14 11:00:36 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Artemis II (spacecraft) (-1024) {source: Artemis_II_merged}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2026-Apr-02 01:58:32.5000 TDB
Stop  time      : A.D. 2026-Apr-10 23:54:22.8576 TDB
Step-size       : 60 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 695700.0, 695700.0, 695700.0 km {Equator_a, b, pole_c}
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 1 (position only)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
JDTDB
   X     Y     Z
*******************************************************************************
$$SOE
2461132.582320602 = A.D. 2026-Apr-02 01:58:32.5000 TDB 
 X =-1.462758448768917E+08 Y =-3.104817012490092E+07 Z = 1.630472660711035E+03
2461132.623987269 = A.D. 2026-Apr-02 02:58:32.5000 TDB 
 X =-1.462598737207848E+08 Y =-3.116593881129624E+07 Z = 5.559834970012307E+02
2461132.665653935 = A.D. 2026-Apr-02 03:58:32.5000 TDB 
 X =-1.462412276666858E+08 Y =-3.128142157126598E+07 Z =-3.211717062499374E+02
2461132.707320602 = A.D. 2026-Apr-02 04:58:32.5000 TDB 
 X =-1.462210294182185E+08 Y =-3.139518499975047E+07 Z =-1.048699065981433E+03
2461132.748987269 = A.D. 2026-Apr-02 05:58:32.5000 TDB 
 X =-1.461997925661612E+08 Y =-3.150755030140254E+07 Z =-1.655277036217973E+03
2461132.790653935 = A.D. 2026-Apr-02 06:58:32.5000 TDB 
 X =-1.461777807860853E+08 Y =-3.161871618549038E+07 Z =-2.158546729167923E+03
2461132.832320602 = A.D. 2026-Apr-02 07:58:32.5000 TDB 
 X =-1.461551562211714E+08 Y =-3.172881203669427E+07 Z =-2.569977402258664E+03
2461132.873987269 = A.D. 2026-Apr-02 08:58:32.5000 TDB 
 X =-1.461320276516325E+08 Y =-3.183792408322921E+07 Z =-2.897215363942087E+03
2461132.915653935 = A.D. 2026-Apr-02 09:58:32.5000 TDB 
 X =-1.461084725969615E+08 Y =-3.194610882024452E+07 Z =-3.145115343263373E+03
2461132.957320602 = A.D. 2026-Apr-02 10:58:32.5000 TDB 
 X =-1.460845403211972E+08 Y =-3.205339311811052E+07 Z =-3.312858591813594E+03
2461132.998987269 = A.D. 2026-Apr-02 11:58:32.5000 TDB 
 X =-1.460602978767115E+08 Y =-3.215980967489363E+07 Z =-3.410202831670642E+03
2461133.040653935 = A.D. 2026-Apr-02 12:58:32.5000 TDB 
 X =-1.460357597242067E+08 Y =-3.226535241177522E+07 Z =-3.423392200833187E+03
2461133.082320602 = A.D. 2026-Apr-02 13:58:32.5000 TDB 
 X =-1.460109744041971E+08 Y =-3.237000834764533E+07 Z =-3.359300999103114E+03
2461133.123987269 = A.D. 2026-Apr-02 14:58:32.5000 TDB 
 X =-1.459859802725078E+08 Y =-3.247374766899461E+07 Z =-3.217719153258950E+03
2461133.165653935 = A.D. 2026-Apr-02 15:58:32.5000 TDB 
 X =-1.459608138959084E+08 Y =-3.257652095379294E+07 Z =-2.994638220233843E+03
