API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API



*******************************************************************************
Ephemeris / API_USER Wed Apr 15 05:39:43 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Moon (301)                      {source: DE441}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2026-Apr-02 01:58:32.5000 TDB
Stop  time      : A.D. 2026-Apr-10 23:54:22.8576 TDB
Step-size       : 60 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 695700.0, 695700.0, 695700.0 km {Equator_a, b, pole_c}
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 1 (position only)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
JDTDB
   X     Y     Z
*******************************************************************************
$$SOE
2461132.582320602 = A.D. 2026-Apr-02 01:58:32.5000 TDB 
 X =-1.466360828967116E+08 Y =-3.111461193505158E+07 Z =-1.677864339848049E+04
2461132.623987269 = A.D. 2026-Apr-02 02:58:32.5000 TDB 
 X =-1.466149023780006E+08 Y =-3.122341367545417E+07 Z =-1.704690911896899E+04
2461132.665653935 = A.D. 2026-Apr-02 03:58:32.5000 TDB 
 X =-1.465936144853902E+08 Y =-3.133219233551010E+07 Z =-1.731347551833652E+04
2461132.707320602 = A.D. 2026-Apr-02 04:58:32.5000 TDB 
 X =-1.465722193235397E+08 Y =-3.144094756851156E+07 Z =-1.757832091919333E+04
2461132.748987269 = A.D. 2026-Apr-02 05:58:32.5000 TDB 
 X =-1.465507169996332E+08 Y =-3.154967902900226E+07 Z =-1.784142383668572E+04
2461132.790653935 = A.D. 2026-Apr-02 06:58:32.5000 TDB 
 X =-1.465291076233609E+08 Y =-3.165838637279692E+07 Z =-1.810276297944970E+04
2461132.832320602 = A.D. 2026-Apr-02 07:58:32.5000 TDB 
 X =-1.465073913069005E+08 Y =-3.176706925700036E+07 Z =-1.836231725063920E+04
2461132.873987269 = A.D. 2026-Apr-02 08:58:32.5000 TDB 
 X =-1.464855681648977E+08 Y =-3.187572734002645E+07 Z =-1.862006574884430E+04
2461132.915653935 = A.D. 2026-Apr-02 09:58:32.5000 TDB 
 X =-1.464636383144479E+08 Y =-3.198436028161653E+07 Z =-1.887598776901700E+04
2461132.957320602 = A.D. 2026-Apr-02 10:58:32.5000 TDB 
 X =-1.464416018750764E+08 Y =-3.209296774285782E+07 Z =-1.913006280337274E+04
2461132.998987269 = A.D. 2026-Apr-02 11:58:32.5000 TDB 
 X =-1.464194589687191E+08 Y =-3.220154938620124E+07 Z =-1.938227054223791E+04
2461133.040653935 = A.D. 2026-Apr-02 12:58:32.5000 TDB 
 X =-1.463972097197034E+08 Y =-3.231010487547914E+07 Z =-1.963259087490104E+04
2461133.082320602 = A.D. 2026-Apr-02 13:58:32.5000 TDB 
 X =-1.463748542547287E+08 Y =-3.241863387592262E+07 Z =-1.988100389039330E+04
2461133.123987269 = A.D. 2026-Apr-02 14:58:32.5000 TDB 
 X =-1.463523927028466E+08 Y =-3.252713605417861E+07 Z =-2.012748987827823E+04
2461133.165653935 = A.D. 2026-Apr-02 15:58:32.5000 TDB 
 X =-1.463298251954414E+08 Y =-3.263561107832660E+07 Z =-2.037202932939865E+04
2461133.207320602 = A.D. 2026-Apr-02 16:58:32.5000 TDB 
